rank,startpoint,endpoint,total_arrival_ns,total_slack_ns,total_levels,iq_select_delay_ns,iq_select_levels,prf_read_delay_ns,prf_read_levels,operand_bypass_delay_ns,operand_bypass_levels,op_decode_delay_ns,op_decode_levels,arith_conv_delay_ns,arith_conv_levels,rounding_class_delay_ns,rounding_class_levels,completion_mux_delay_ns,completion_mux_levels,prf_writeback_delay_ns,prf_writeback_levels
1,_358599_,_363709_,17.316,-5.084,427,1.443,38,1.755,44,1.117,28,0.886,22,7.642,192,1.851,46,0.945,24,1.677,42
2,_358599_,_363709_,17.315,-5.083,426,1.438,38,1.758,44,1.121,28,0.888,22,7.636,192,1.846,46,0.942,24,1.686,42
3,_358599_,_363709_,17.315,-5.083,425,1.448,38,1.761,44,1.117,28,0.884,22,7.63,192,1.851,46,0.948,24,1.676,42
4,_358599_,_363709_,17.314,-5.082,428,1.443,38,1.752,44,1.121,28,0.886,22,7.624,192,1.846,46,0.945,24,1.697,42
5,_358599_,_363709_,17.314,-5.082,427,1.438,38,1.755,44,1.117,28,0.888,22,7.648,192,1.851,46,0.942,24,1.675,42
6,_358599_,_363709_,17.313,-5.081,426,1.448,38,1.758,44,1.121,28,0.884,22,7.642,192,1.846,46,0.948,24,1.666,42
7,_358599_,_363933_,17.312,-5.08,425,1.443,38,1.761,44,1.117,28,0.886,22,7.636,192,1.851,46,0.945,24,1.673,42
8,_358599_,_363933_,17.312,-5.08,428,1.438,38,1.752,44,1.121,28,0.888,22,7.63,192,1.846,46,0.942,24,1.695,42
9,_358599_,_363933_,17.311,-5.079,427,1.448,38,1.755,44,1.117,28,0.884,22,7.624,192,1.851,46,0.948,24,1.684,42
10,_358599_,_363933_,17.311,-5.079,426,1.443,38,1.758,44,1.121,28,0.886,22,7.648,192,1.846,46,0.945,24,1.664,42
11,_358599_,_364061_,17.31,-5.078,425,1.438,38,1.761,44,1.117,28,0.888,22,7.642,192,1.851,46,0.942,24,1.671,42
12,_358599_,_364061_,17.309,-5.077,428,1.448,38,1.752,44,1.121,28,0.884,22,7.636,192,1.846,46,0.948,24,1.674,42
13,_358599_,_364061_,17.309,-5.077,427,1.443,38,1.755,44,1.117,28,0.886,22,7.63,192,1.851,46,0.945,24,1.682,42
14,_358599_,_364061_,17.308,-5.076,426,1.438,38,1.758,44,1.121,28,0.888,22,7.624,192,1.846,46,0.942,24,1.691,42
15,_358599_,_364061_,17.308,-5.076,425,1.448,38,1.761,44,1.117,28,0.884,22,7.648,192,1.851,46,0.948,24,1.651,42
16,_358599_,_364061_,17.307,-5.075,428,1.443,38,1.752,44,1.121,28,0.886,22,7.642,192,1.846,46,0.945,24,1.672,42
17,_358599_,_364061_,17.306,-5.074,427,1.438,38,1.755,44,1.117,28,0.888,22,7.636,192,1.851,46,0.942,24,1.679,42
18,_358599_,_364061_,17.306,-5.074,426,1.448,38,1.758,44,1.121,28,0.884,22,7.63,192,1.846,46,0.948,24,1.671,42
19,_358599_,_364061_,17.305,-5.073,425,1.443,38,1.761,44,1.117,28,0.886,22,7.624,192,1.851,46,0.945,24,1.678,42
20,_358599_,_364061_,17.305,-5.073,428,1.438,38,1.752,44,1.121,28,0.888,22,7.648,192,1.846,46,0.942,24,1.67,42
