commit,phase,baseline_type,target_period_ns,fmax_internal_mhz,fmax_system_mhz,reg2reg_tmin_ns,in2reg_tmin_ns,coremark_per_mhz,coremark_s_internal,coremark_s_system,embench_speed_score,reg2reg_wns_ps,in2reg_wns_ps,hold_slack_ps,core_cells,timing_buffers,stdcell_area_um2,core_area_um2,utilization_pct,power_mw,power_type,spike_diff,act4_pass
e22c106e4869f11276ccf9dbc13be54346090e67,AP0.1,AP0_1_1GHZ_STRESS,1.0,91.76,91.76,10.898,10.898,2.5282,231.99,231.99,1.0325,-9898.2,-9898.2,3.31,245186,59201,28507.0,49089.69,58.08,90.2,1-GHz clock stress power,14/14,58/58
e22c106e4869f11276ccf9dbc13be54346090e67,AP0.1,AP0_1_BASELINE,13.0,76.67,76.67,13.043,13.043,2.5282,193.84,193.84,1.0325,-42.91,-42.91,9.72,206019,14906,24196.2,49089.69,49.29,6.67,Operating power at 13.0ns clock,14/14,58/58
ed8e140e0c5ce6ce868a177c71c4a4ef2dbdeff7,AP1A,AP1A_EX0_REGISTER,12.0,88.78,77.86,11.263,12.843,2.5018,222.11,194.79,0.9716,736.65,-842.91,9.72,210947,18320,25160.9,49089.69,51.25,7.23,Operating power at 12.0ns clock,14/14,58/58
89a1c0a8f89d81d2833075c328fca6d31c0338fc,AP1B,AP1B_COMPLETION_REGISTER,12.0,88.78,77.86,11.263,12.843,2.3212,206.07,180.73,0.9098,736.65,-842.91,9.72,210947,18320,25160.9,49089.69,51.25,7.23,Operating power at 12.0ns clock,14/14,58/58
c7149920e12957553d2a3ea86ab019bda3fa2cfe,AP2A,AP2A_ITERATIVE_DIV,12.0,61.29,55.54,16.315,18.006,2.5018,153.34,138.95,0.9379,-4314.85,-6006.13,10.21,192116,7473,24452.8,47311.44,51.68,6.14,Operating power at 12.0ns clock,15/15,58/58
a5b182c260259f09f291a541f6f54364afef245d,AP2B,AP2B_PIPELINED_MUL,12.0,57.46,52.34,17.402,19.104,2.3221,133.43,121.54,0.9110,-5402.18,-7103.83,9.14,192798,7326,23769.0,45796.83,51.90,6.45,Operating power at 12.0ns clock,15/15,58/58
cabafc93248944d49693a54e2b5b5bcf94082f66,AP2C,AP2C_M_EXT_DECOUPLING,12.0,58.53,53.22,17.084,18.791,2.2620,132.41,120.38,0.9167,-5083.85,-6791.06,0.37,195156,5871,23963.7,45993.51,52.10,6.63,Operating power at 12.0ns clock,16/16,58/58
0e631d12a42e1494ab1e09b177bc139737d6b23d,AP3A1,AP3A1_FP_EX0,12.0,62.50,62.50,15.999,4.338,2.4748,154.68,154.68,0.9167,-3999.49,7899.76,1.21,184588,5947,24133.1,46562.73,51.83,6.42,Operating power at 12.0ns clock,16/16,58/58
c6a41c7cff914ab1de779b51977a48bd9325be27,AP3A2,AP3A2_FP_COMPLETION_REG,12.0,63.72,63.72,15.693,4.121,2.4748,157.70,157.70,0.9167,-3693.31,8124.23,0.15,184958,5488,24169.24,46924.65,51.81,6.01,Operating power at 12.0ns clock,16/16,58/58
c3fc6acfc955816923c1b3f40c7ba96470c02218,AP3B,AP3B_NONCOMPACT_INT_IQ,12.0,65.01,65.01,15.383,4.303,2.4748,160.89,160.89,0.9167,-3382.78,7931.60,0.16,169720,5510,22554.35,43503.51,51.85,5.79,Operating power at 12.0ns clock,16/16,58/58
248c297daadf8ef72dbaafa308b04153697c86b4,AP4B,AP4B_SIMPLE_FP_SPLIT,12.0,64.58,64.58,15.485,3.869,2.4748,159.82,159.82,0.9167,-3484.95,8130.95,8.15,178588,5567,23108.25,44375.10,52.07,5.96,Operating power at 12.0ns clock,17/17,58/58
227ad1d258b38392138ad26c4f34606f22e88ae1,AP4F,AP4F_ITERATIVE_DIVSQRT,12.0,171.63,127.60,5.826,3.787,2.4748,424.75,315.78,0.9167,6173.55,8212.88,5.20,162497,4909,21205.74,40635.28,52.18,6.12,Operating power at 12.0ns clock,17/17,58/58
227ad1d258b38392138ad26c4f34606f22e88ae1,AP5A,AP5A_REBASELINE_6NS,6.0,175.69,153.18,5.692,2.405,2.4748,434.79,379.09,0.9167,308.03,3595.35,5.62,162497,4909,21205.74,40635.28,52.18,12.20,Operating power at 6.0ns clock,17/17,58/58
227ad1d258b38392138ad26c4f34606f22e88ae1,AP5A,AP5A_PROBE_5.5NS,5.5,175.69,155.56,5.692,2.305,2.4748,434.79,384.98,0.9167,-191.97,3195.35,5.62,162497,4909,21205.74,40635.28,52.18,13.30,Operating power at 5.5ns clock,17/17,58/58
227ad1d258b38392138ad26c4f34606f22e88ae1,AP5A,AP5A_PROBE_5.0NS,5.0,175.69,158.02,5.692,2.205,2.4748,434.79,391.07,0.9167,-691.97,2795.35,5.62,162497,4909,21205.74,40635.28,52.18,14.60,Operating power at 5.0ns clock,17/17,58/58



