rank,path_group,path_type,startpoint,endpoint,arrival_ns,required_ns,slack_ns,logic_levels,microarchitecture_block,notes
1,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
2,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
3,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
4,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
5,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
6,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
7,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
8,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
9,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
10,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
11,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
12,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
13,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
14,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
15,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
16,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
17,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
18,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
19,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
20,REG2REG,setup,_386358_,_395836_,-11.483450000000001,13.22011,1.73665,461,ALU,Integer ALU execution carry / arithmetic tree
21,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
22,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
23,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
24,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
25,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
26,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
27,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
28,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
29,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
30,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
31,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
32,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
33,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
34,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
35,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
36,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
37,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
38,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
39,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
40,IN2REG,setup,dmem_rsp_valid,_395836_,-13.25856,13.21565,-0.04291,456,ALU,Integer ALU execution carry / arithmetic tree
41,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03208,10.35,1.31792,314,ALU,Integer ALU execution carry / arithmetic tree
42,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03208,10.35,1.31792,314,ALU,Integer ALU execution carry / arithmetic tree
43,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03208,10.35,1.31792,314,ALU,Integer ALU execution carry / arithmetic tree
44,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03208,10.35,1.31792,314,ALU,Integer ALU execution carry / arithmetic tree
45,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03208,10.35,1.31792,314,ALU,Integer ALU execution carry / arithmetic tree
46,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03208,10.35,1.31792,314,ALU,Integer ALU execution carry / arithmetic tree
47,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03027,10.35,1.31973,314,ALU,Integer ALU execution carry / arithmetic tree
48,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03027,10.35,1.31973,314,ALU,Integer ALU execution carry / arithmetic tree
49,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.03027,10.35,1.31973,314,ALU,Integer ALU execution carry / arithmetic tree
50,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.030149999999999,10.35,1.31985,314,ALU,Integer ALU execution carry / arithmetic tree
51,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.030149999999999,10.35,1.31985,314,ALU,Integer ALU execution carry / arithmetic tree
52,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.030149999999999,10.35,1.31985,314,ALU,Integer ALU execution carry / arithmetic tree
53,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.02798,10.35,1.32202,314,ALU,Integer ALU execution carry / arithmetic tree
54,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.02798,10.35,1.32202,314,ALU,Integer ALU execution carry / arithmetic tree
55,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.027959999999998,10.35,1.3220399999999999,314,ALU,Integer ALU execution carry / arithmetic tree
56,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.027959999999998,10.35,1.3220399999999999,314,ALU,Integer ALU execution carry / arithmetic tree
57,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.02789,10.35,1.32211,314,ALU,Integer ALU execution carry / arithmetic tree
58,REG2OUT,setup,_393926_,dmem_req_addr[3],-9.02789,10.35,1.32211,314,ALU,Integer ALU execution carry / arithmetic tree
59,REG2OUT,setup,_393618_,dmem_req_addr[3],-9.02626,10.35,1.32374,314,ALU,Integer ALU execution carry / arithmetic tree
60,REG2OUT,setup,_393618_,dmem_req_addr[3],-9.02626,10.35,1.32374,314,ALU,Integer ALU execution carry / arithmetic tree
61,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
62,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
63,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
64,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
65,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
66,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
67,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
68,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
69,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
70,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
71,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
72,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
73,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
74,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
75,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
76,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
77,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
78,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
79,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
80,IN2OUT,setup,dmem_rsp_valid,dmem_req_addr[3],-10.2564,10.35,0.09359999999999999,294,ALU,Integer ALU execution carry / arithmetic tree
