benchmark,pass,bench_cycles,sim_cycles,retired,ipc,relative_speed,text_size_bytes
aha-mont64,True,5071977,5468065,4778064,0.8738,0.7894,6246
crc32,True,4355834,4768358,4284543,0.8985,0.9206,4688
edn,True,4082104,4532347,3684607,0.813,0.9823,8400
huffbench,True,3068671,3758334,2579565,0.6864,1.3426,7756
matmult-int,True,5498654,6049329,4379813,0.724,0.7247,6112
nettle-aes,True,4631941,5091585,4505222,0.8848,0.8692,19240
nettle-sha256,True,4403922,4807497,4270819,0.8884,0.9076,12800
nsichneu,True,5577723,5976453,2501420,0.4185,0.7173,22850
picojpeg,True,4724687,5910801,4184746,0.708,0.853,23120
qrduino,True,3613708,4743165,3602770,0.7596,1.1769,26168
sglib-combined,True,3937271,4488565,2676282,0.5962,1.0111,22336
slre,True,3926091,4355880,2774393,0.6369,1.0214,8208
statemate,True,3022772,3419492,1815908,0.531,1.3236,10802
ud,True,1377647,1776177,1080073,0.6081,2.9028,7312
