benchmark,pass,bench_cycles,sim_cycles,retired,ipc,relative_speed,text_size_bytes
aha-mont64,True,5364296,5760587,4778064,0.8294,0.7464,6246
crc32,True,4706060,5118703,4284543,0.837,0.8521,4688
edn,True,4205933,4657729,3684607,0.7911,0.9534,8400
huffbench,True,3360943,4077280,2579565,0.6327,1.2258,7756
matmult-int,True,5610498,6168265,4379813,0.7101,0.7103,6112
nettle-aes,True,4673067,5133358,4505222,0.8776,0.8615,19240
nettle-sha256,True,4445279,4849068,4270819,0.8808,0.8992,12800
nsichneu,True,6076288,6475519,2501420,0.3863,0.6585,22850
picojpeg,True,4877667,6089434,4184746,0.6872,0.8262,23120
qrduino,True,4173918,5415515,3602770,0.6653,1.0189,26168
sglib-combined,True,4300360,4866348,2676282,0.55,0.9257,22336
slre,True,4299777,4733086,2774393,0.5862,0.9326,8208
statemate,True,3122972,3519890,1815908,0.5159,1.2812,10802
ud,True,1500340,1899079,1080073,0.5687,2.6654,7312
